                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7043,                  3.214,                 1.7843,                0.00552,                0.74878,                0.25826,                0.09756,                   1.76,                 3.6805,                 2.0236,                0.00056,                0.00056,                0.00056
                      2,                 1.7471,                 2.9025,                 1.8233,                0.45457,                0.16585,                0.21549,                0.07838,                  2.047,                 3.4131,                 2.2801,              0.0011174,              0.0011174,              0.0011174
                      3,                 1.8476,                 2.8992,                 1.8864,                0.21706,                0.22439,                0.12751,                0.04581,                 2.4835,                  5.095,                 2.8127,              0.0016519,              0.0016519,              0.0016519
                      4,                 1.8645,                 2.6895,                 1.8824,                0.15714,                0.22195,                0.12345,                0.04282,                 2.2593,                 5.5145,                  3.034,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8745,                 2.5583,                 1.8791,                0.08763,                0.17317,                0.04681,                0.01658,                 2.2034,                 13.654,                 2.5341,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.8419,                 2.4804,                 1.8579,                0.07632,                0.28537,                0.04767,                0.01805,                 2.0997,                 12.502,                 2.4555,               0.001802,               0.001802,               0.001802
                      7,                 1.8379,                  2.491,                 1.8841,                0.29545,                0.36829,                0.26153,                0.10358,                 2.0288,                 3.2719,                 2.2655,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.8484,                 2.3189,                 1.8775,                0.34067,                0.38537,                0.28528,                0.11427,                 1.9734,                  4.514,                 2.1199,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.838,                  2.217,                 1.8552,                0.32958,                0.32014,                0.27001,                0.09768,                 1.9055,                 3.7476,                 2.1002,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8238,                 2.2554,                 1.8264,                0.33565,                    0.3,                0.25819,                 0.1121,                 1.9785,                 2.4718,                  1.981,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.7242,                 2.1177,                 1.7266,                0.38846,                0.35014,                0.30633,                0.14652,                  1.791,                 2.7963,                 1.9301,               0.001604,               0.001604,               0.001604
                     12,                 1.7094,                 2.0854,                 1.7258,                0.45348,                0.41707,                0.42057,                0.17309,                 1.8012,                 2.3116,                 1.9241,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6408,                 2.1095,                 1.7328,                0.37283,                0.42683,                0.36258,                0.17376,                 1.7715,                 2.1223,                 1.9646,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.6961,                 2.0266,                 1.7729,                0.45918,                0.50322,                0.44969,                0.20819,                 1.7278,                 1.9717,                 1.9157,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.6585,                   1.94,                 1.6846,                0.46998,                0.45122,                0.44536,                 0.2009,                 1.7467,                 2.0192,                 1.8261,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.664,                 1.9504,                 1.7125,                0.33711,                 0.4122,                 0.3639,                0.16157,                 1.7779,                  2.344,                 1.9894,               0.001406,               0.001406,               0.001406
                     17,                 1.6487,                   1.94,                 1.7275,                0.53686,                0.50325,                0.50706,                0.25926,                 1.5978,                 1.8502,                 1.7577,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.6189,                 1.9019,                 1.6984,                0.54576,                0.47473,                0.49916,                0.26915,                 1.5894,                 1.9619,                 1.7365,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.5545,                 1.8576,                 1.6443,                0.60084,                0.51032,                0.56275,                0.29829,                  1.506,                 2.0284,                 1.7034,              0.0012872,              0.0012872,              0.0012872
                     20,                  1.564,                 1.8826,                 1.6322,                0.54939,                0.52439,                0.52537,                0.26358,                   1.58,                 1.7498,                 1.7262,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.5866,                 1.7448,                 1.6191,                0.65588,                0.50488,                0.57863,                0.31424,                 1.5094,                 1.6606,                 1.6484,               0.001208,               0.001208,               0.001208
                     22,                  1.516,                 1.7113,                 1.5993,                0.52308,                 0.5591,                0.56741,                 0.2868,                 1.5792,                  1.696,                 1.6919,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.5317,                  1.746,                 1.5938,                0.60252,                0.53902,                0.59027,                0.30977,                 1.5381,                 1.6246,                 1.6907,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.5391,                 1.7579,                 1.6139,                0.57552,                0.56585,                0.58412,                0.29982,                  1.609,                 1.7051,                 1.7305,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.5272,                 1.7119,                  1.615,                0.61973,                0.59024,                0.61873,                0.31858,                 1.5332,                 1.6929,                 1.6373,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.5193,                 1.7246,                 1.5957,                0.62565,                0.59922,                0.62661,                0.35141,                 1.4559,                 1.5334,                 1.6003,                0.00101,                0.00101,                0.00101
                     27,                 1.5022,                 1.6978,                 1.6221,                0.63334,                 0.6439,                0.64264,                0.37727,                  1.366,                 1.4969,                 1.5404,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.4183,                 1.6369,                 1.5278,                0.63184,                0.57764,                0.62956,                0.35405,                 1.4465,                 1.6669,                 1.5975,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.4566,                   1.66,                 1.5575,                0.66426,                 0.6122,                0.65097,                0.35536,                  1.446,                 1.6395,                 1.5442,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.4088,                 1.5879,                 1.5096,                0.66629,                0.64146,                0.66355,                0.37733,                 1.4396,                 1.4571,                 1.5624,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.4217,                 1.5288,                   1.52,                0.68481,                0.67317,                0.68998,                0.41511,                 1.3102,                 1.3495,                 1.4562,               0.000812,               0.000812,               0.000812
                     32,                 1.3878,                 1.4753,                 1.5063,                0.64306,                0.66829,                0.68019,                0.41281,                 1.3409,                 1.3792,                 1.4812,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.3928,                 1.4364,                 1.4915,                0.67867,                 0.6878,                0.71741,                0.44603,                 1.2941,                 1.3566,                 1.4562,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.3769,                 1.4659,                 1.5097,                0.77915,                0.66585,                0.76389,                0.47313,                 1.2496,                 1.2151,                 1.4314,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.3288,                 1.4206,                 1.4777,                0.70504,                0.76374,                 0.7656,                0.48315,                 1.2187,                 1.2282,                 1.3891,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.3138,                 1.4547,                 1.4194,                0.73708,                0.71797,                0.77682,                 0.4953,                  1.201,                 1.2018,                 1.3664,               0.000614,               0.000614,               0.000614
                     37,                 1.3268,                 1.4354,                 1.4654,                0.74424,                0.73415,                 0.8005,                0.49793,                 1.2161,                 1.1803,                 1.4005,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3125,                 1.4004,                 1.4378,                 0.7657,                 0.7094,                0.79474,                0.50761,                 1.2045,                 1.1589,                 1.3943,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.2932,                 1.3158,                 1.4516,                0.77057,                0.73659,                0.80609,                0.52916,                 1.1591,                 1.1059,                 1.3547,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.2623,                 1.3509,                 1.4116,                0.73914,                0.77073,                0.80594,                0.53321,                 1.1224,                 1.1023,                 1.3199,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.2654,                 1.4377,                 1.4565,                0.79101,                0.73851,                0.82343,                0.54152,                 1.1597,                 1.1172,                 1.3392,               0.000416,               0.000416,               0.000416
                     42,                    1.2,                 1.3373,                 1.4067,                0.78189,                0.75854,                0.83336,                0.55186,                 1.1452,                 1.0859,                 1.3379,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.191,                 1.2519,                 1.4128,                0.78812,                0.79756,                0.84551,                0.56095,                 1.1353,                 1.0409,                 1.3231,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1646,                 1.1987,                 1.3807,                0.78567,                 0.7878,                0.86032,                0.58539,                 1.0999,                 1.0009,                 1.2913,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.2128,                 1.1941,                 1.4122,                0.82949,                0.78309,                0.86818,                0.59992,                 1.0556,                0.97492,                 1.2692,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.146,                 1.1729,                 1.3556,                  0.824,                0.83361,                0.87864,                0.61031,                 1.0353,                0.94247,                 1.2617,               0.000218,               0.000218,               0.000218
                     47,                 1.1366,                 1.1404,                 1.3346,                0.81805,                0.85854,                0.88993,                0.62776,                 1.0217,                 0.9081,                 1.2504,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0987,                 1.1604,                  1.331,                0.83677,                0.83415,                0.90117,                0.63752,                0.99963,                0.87745,                 1.2306,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1022,                 1.0399,                 1.2896,                0.81414,                0.87805,                0.90645,                0.64635,                 0.9707,                0.86658,                 1.2158,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0494,                 1.0628,                 1.2967,                0.82668,                0.87253,                0.91034,                0.65311,                0.95732,                0.85339,                 1.2121,               5.96e-05,               5.96e-05,               5.96e-05
